CodiceSIF,COD_LOCALE,TIPO,TIPOLOGIA,COMPARTO,COMUNE,X_GB,Y_GB,QUOTA,PROF,FILTRO_DA,FILTRO_A
0152090520,PzC10,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519889.213,5042739.368,139.25,40,12,40
0152090521,PzC11,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519992.019,5042754.875,139.206,40,9,37
0152090522,PzC12,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519798.035,5042706.772,139.57,40,12,40
0152090523,PzC13,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519783.447,5042859.599,142.19,40,12,40
0152090524,PzC14,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519749.22,5042752.936,141.954,40,12,40
0152090539,PzC23,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519413.78,5042745.334,142.394,40,12,40
0152090540,PzC25,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519542.364,5042671.577,141.818,40,12,40
0152090541,PzC26,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519617.306,5042637.238,142.282,40,12,40
0152090525,PzPC3A,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519442.677,5042602.915,142.25,40,12,40
0152090526,PzPC4A,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519465.865,5042585.359,141.798,40,12,40
0152090527,PzPC4B,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519461.712,5042588.708,141.887,40,12,40
0152090528,PzPC4C,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519453.846,5042594.377,141.85,40,12,40
0152090529,PzPC9A,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519682.324,5042554.603,140.88,40,12,40
0152090530,PzPC10A,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519713.976,5042538.243,139.258,37,9,37
0152090531,PzPC12A,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519805.104,5042607.549,138.949,40,9,37
0152090532,PzPC12B,PIE,SUP/PROF,CONCORDIA,Sesto San Giovanni,1519808.761,5042610.696,138.966,95,10,90
0152090533,PZPC12C,PIE,SUP/PROF,CONCORDIA,Sesto San Giovanni,1519820.632,5042619.536,138.96,95,10,90
