gid,id_punto,fkid,data,codice_campagna,secco,prodotto,spessore_prodotto,quota_falda,soggiacenza,quota_ref,riferimento_soggiacenza,fonte,note
256,PO012002NU0008,33,2013-11-01,,no,,,303.85,,313.8,non noto,PTUA2022-PTUA2003,
257,PO012002NU0008,33,2013-12-01,,no,,,305.44,,313.8,non noto,PTUA2022-PTUA2003,
258,PO012002NU0008,33,2014-01-01,,no,,,306.26,,313.8,non noto,PTUA2022-PTUA2003,
259,PO012002NU0008,33,2014-02-01,,no,,,306.32,,313.8,non noto,PTUA2022-PTUA2003,
260,PO012002NU0008,33,2014-03-01,,no,,,304.91,,313.8,non noto,PTUA2022-PTUA2003,
261,PO012002NU0008,33,2014-04-01,,no,,,306.14,,313.8,non noto,PTUA2022-PTUA2003,
262,PO012002NU0008,33,2014-05-01,,no,,,304.37,,313.8,non noto,PTUA2022-PTUA2003,
263,PO012002NU0008,33,2014-06-01,,no,,,303.74,,313.8,non noto,PTUA2022-PTUA2003,
264,PO012002NU0008,33,2014-07-01,,no,,,306.5,,313.8,non noto,PTUA2022-PTUA2003,
265,PO012002NU0008,33,2014-08-01,,no,,,305.59,,313.8,non noto,PTUA2022-PTUA2003,
266,PO012002NU0008,33,2014-09-01,,no,,,305.34,,313.8,non noto,PTUA2022-PTUA2003,
267,PO012002NU0008,33,2014-10-01,,no,,,304.95,,313.8,non noto,PTUA2022-PTUA2003,
268,PO012002NU0008,33,2014-11-01,,no,,,305.2,,313.8,non noto,PTUA2022-PTUA2003,
269,PO012002NU0008,33,2014-12-01,,no,,,305.31,,313.8,non noto,PTUA2022-PTUA2003,
270,PO012002NU0008,33,2015-01-01,,no,,,306.12,,313.8,non noto,PTUA2022-PTUA2003,
271,PO012002NU0008,33,2015-02-01,,no,,,306.31,,313.8,non noto,PTUA2022-PTUA2003,
272,PO012002NU0008,33,2015-03-01,,no,,,306.12,,313.8,non noto,PTUA2022-PTUA2003,
273,PO012002NU0008,33,2015-04-01,,no,,,302.81,,313.8,non noto,PTUA2022-PTUA2003,
274,PO012002NU0008,33,2015-05-01,,no,,,302.55,,313.8,non noto,PTUA2022-PTUA2003,
275,PO012002NU0008,33,2015-06-01,,no,,,301.61,,313.8,non noto,PTUA2022-PTUA2003,
276,PO012002NU0008,33,2015-07-01,,no,,,300.36,,313.8,non noto,PTUA2022-PTUA2003,
277,PO012002NU0008,33,2015-08-01,,no,,,300.13,,313.8,non noto,PTUA2022-PTUA2003,
278,PO012002NU0008,33,2015-09-01,,no,,,300.1,,313.8,non noto,PTUA2022-PTUA2003,
279,PO012002NU0008,33,2015-10-01,,no,,,300.81,,313.8,non noto,PTUA2022-PTUA2003,
280,PO012002NU0008,33,2015-11-01,,no,,,299.84,,313.8,non noto,PTUA2022-PTUA2003,
281,PO012002NU0008,33,2015-12-01,,no,,,299.18,,313.8,non noto,PTUA2022-PTUA2003,
282,PO012002NU0008,33,2016-01-01,,no,,,297.73,,313.8,non noto,PTUA2022-PTUA2003,
283,PO012002NU0008,33,2016-02-01,,no,,,299.37,,313.8,non noto,PTUA2022-PTUA2003,
