DATA,PO012002NU0008,PO012026NU3021,PO0120500RZ001,PO012070NU1007,PO0120750R2020,PO0120790RZ001,PO012090NU2009,PO0121180U0005,PO012119NUP001,PO012123NUP001,PO0121300RZ001,PO012136NUZ001,PO0130230U0003,PO0130280U0009,PO013064NU0002,PO0131310U0001,PO0131330U0009,PO0131590U0001,PO015041NR0075,PO015051NR0012,PO015062NR0071,PO015113NUP001,PO015146NU1534,PO015194NU0017,PO0970200U0002,PO0970200U0003,PO0970480U0001,PO0970610U0015,PO108033NR0142,PO108033NU0243
2009-08-01,,-0.5549229427026537,-0.16789400478810546,0.6289042176321896,-1.1503493803760079,-0.7279132908816442,0.31863936396437514,0.7554150263604691,,,-0.5244005127080409,0.7764217611479277,0.26699412540495254,1.9379315108528297,1.11895838106256,,0.27188000539926077,-0.8122178014999129,,,,,-1.11895838106256,,0.3406948270877954,0.31863936396437514,-0.5977601260424786,0.5244005127080407,,
2009-09-01,,-0.7164975001779913,0.0,0.6289042176321896,-0.9345892910734802,-0.7279132908816442,0.18911842627279238,0.7554150263604691,,,-0.5244005127080409,0.7764217611479277,0.31863936396437514,1.959963984540054,0.93458929107348,,0.27188000539926077,-0.8122178014999129,,,,,-1.11895838106256,,-0.7279132908816442,-0.5977601260424786,-0.9345892910734802,-0.3406948270877956,,
2009-10-01,,-0.7164975001779913,0.0,0.8207920883323803,-0.9345892910734802,-0.7279132908816442,-1.4395314709384563,0.7554150263604691,,,-0.5244005127080409,0.7764217611479277,0.06270677794321357,-0.45376219016987945,0.93458929107348,,0.4637077514571789,-1.1503493803760079,,,,,-1.11895838106256,,-1.2815515655446004,-0.9345892910734802,-1.4395314709384563,-0.5244005127080409,,
2009-11-01,,-0.7164975001779913,-0.16789400478810546,0.6289042176321896,-0.9345892910734802,-0.7279132908816442,-1.9599639845400545,0.7554150263604691,,,-0.579132162255556,0.7764217611479277,0.18911842627279238,0.31863936396437514,0.7554150263604691,,0.4637077514571789,-1.1503493803760079,,,,,-1.11895838106256,,-1.8339146358159146,-1.1503493803760079,-1.4395314709384563,-0.7279132908816442,,
2009-12-01,,-0.7164975001779913,-0.0784124127331122,0.6289042176321896,-0.9345892910734802,-0.7764217611479277,0.4537621901698793,0.93458929107348,,,-0.579132162255556,1.009990169249582,-0.18911842627279252,0.31863936396437514,0.7554150263604691,,0.27188000539926077,-1.1503493803760079,,,,,-1.11895838106256,,-1.8339146358159146,-1.4395314709384563,-0.9345892910734802,-0.7279132908816442,,
2010-01-01,,-0.7554150263604693,0.23720210932878769,0.3554904178395308,-0.967421566101701,-0.579132162255556,-0.06270677794321385,0.7554150263604691,,,-0.7764217611479277,1.009990169249582,0.4537621901698793,0.5977601260424784,0.4537621901698793,,0.4637077514571789,-1.1503493803760079,,,,,-0.9345892910734802,,0.5244005127080407,-1.1503493803760079,-0.31863936396437514,-0.0784124127331122,,
2010-02-01,,-0.5977601260424786,0.0784124127331122,0.3554904178395308,-0.967421566101701,-0.40225006532172536,-0.24104039388602685,0.7554150263604691,,,-0.579132162255556,0.579132162255556,0.5977601260424784,-0.7554150263604693,0.31863936396437514,,0.08964235107576254,-1.1983797023069247,,,,,-0.7554150263604693,,-0.40225006532172536,-0.18911842627279252,0.06270677794321357,-0.0784124127331122,,
2010-03-01,,-0.7554150263604693,-0.23720210932878769,0.06968492031845568,-0.7916386077433746,-0.40225006532172536,0.1196481130398419,0.5977601260424784,,,-0.579132162255556,0.7764217611479277,1.959963984540054,0.5977601260424784,0.31863936396437514,,0.3406948270877954,-1.1983797023069247,,,,,-0.9345892910734802,,-0.0784124127331122,-0.18911842627279252,0.18911842627279238,0.23720210932878769,,
2010-04-01,,-0.7554150263604693,-0.23720210932878769,0.6744897501960817,-0.7916386077433746,-0.579132162255556,0.1196481130398419,0.5977601260424784,,,-0.579132162255556,1.009990169249582,1.4395314709384557,0.5977601260424784,1.959963984540054,,0.3406948270877954,-1.1983797023069247,,,,,-0.7554150263604693,,-0.0784124127331122,-0.18911842627279252,0.18911842627279238,0.23720210932878769,,
2010-05-01,,-0.7164975001779913,0.0,0.2993069104656671,-0.7554150263604693,-0.5244005127080409,0.5977601260424784,0.5549229427026537,,,-0.5244005127080409,0.967421566101701,1.4121875789061644,0.5549229427026537,0.5549229427026537,,0.4637077514571789,-0.8122178014999129,,,,,-0.7164975001779913,,-0.16789400478810546,-0.26699412540495254,0.0,-0.16789400478810546,,
