CODICE_SIF,CODICE_PP,PROVINCIA,COMUNE,DITTA_INDIRIZZO,DENOMINAZIONE,TIPO,X,Y,Z_BOCCA_POZZO,MOD_COORDINATE,FONTE_COORDINATE,PROFONDITA,FILTRI_DA,FILTRI_A,MODIFICAFILTRI_PROFONDITA,FILTRI,QUOTA_DTM,BASE_A_SLM,BASE_B_SLM,BASE_ISS_SLM,BASE_ISI_SLM,TIPO_FALDA,CLASSIFICAZIONE_POLITECNICO,CLASSIFICAZIONE_EUPOLIS,SCHEDA_STRATIGRAFICA,LIVELLI_FALDA,N_PRATICA_AGISCO,FONTE
0152200143,PO015220NRA192,MI,TREZZANO SUL NAVIGLIO,Ditta Kara Via Metastasio,,PIEZOMETRO,1504469,5029536,,,,15,1,15.00,,,115.57,78.86896,-3.0618,70.00554,-3.85497,SEPARATA,A,ISS,,,,progPLUMES
0152200146,PO015220NUA199,MI,TREZZANO SUL NAVIGLIO,Provincia di Milano via Fleming pz 14,,PIEZOMETRO,1504660,5029452,,,,20,1,19.00,,,115.68,77.69626,-4.12076,69.8769,-4.0499,SEPARATA,A,ISS,,,,progPLUMES
0152200147,PO015220NUA200,MI,TREZZANO SUL NAVIGLIO,Provincia di Milano via Edison 61 pz 15,,PIEZOMETRO,1504629,5029512,,,,20,1,19.00,,,115.7,77.64791,-3.72729,69.8769,-4.0499,SEPARATA,A,ISS,,,,progPLUMES
0152200148,PO015220NRA219,MI,TREZZANO SUL NAVIGLIO,Via Edison (c/o Ditta Saratoga),,PIEZOMETRO,1504582,5029503,,,,15,ND,ND,,,115.62,77.83281,-3.58154,70.00554,-3.85497,SEPARATA,A,ISS,,,,progPLUMES
0152200149,PO015220NRA220,MI,TREZZANO SUL NAVIGLIO,Via Edison 76 (c/o Ditta Saratoga),,PIEZOMETRO,1504600,5029516,,,,15,1,15.00,,,115.66,77.73459,-3.6543,70.00554,-3.85497,SEPARATA,A,ISS,,,,progPLUMES
0152090088,209088,MI,SESTO SAN GIOVANNI,IRITECNA / Breda /via Granelli - -Cimimontubi (via Carducci. 55),,POZZO,1517192,5041891,138.89,,,110,32,110.00,,,139,108.01937,48.74921,97.70114,52.16879,TRANSIZIONE,B+C,ISS+ISI+ISP,,,,progPLUMES
0152200160,PO015220NRA216,MI,TREZZANO SUL NAVIGLIO,Parcheggio via L. da Vinci (monte ditta Saratoga),,PIEZOMETRO,1504505,5029680,,,,15,ND,ND,,,115.87,79.21038,-2.23969,70.23715,-2.8399,SEPARATA,A,ISS,,,,progPLUMES
0152200161,PO015220NRA217,MI,TREZZANO SUL NAVIGLIO,Via L. da Vinci (monte ditta Saratoga),,PIEZOMETRO,1504534,5029696,,,,ND,ND,ND,,,115.98,79.08174,-2.31049,70.23715,-2.8399,SEPARATA,A,DUBBIO,,,,progPLUMES
0152200162,PO015220NUA201,MI,TREZZANO SUL NAVIGLIO,"Piezometro Pz.24 - Via Fleming, 11 (ingresso condominio aziende)",,PIEZOMETRO,1504641,5029444,,,,ND,ND,ND,,,115.64,77.84586,-4.2066,69.8769,-4.0499,SEPARATA,A,DUBBIO,,,,progPLUMES
0152200163,PO015220NUA202,MI,TREZZANO SUL NAVIGLIO,"Piezometro Pz 25 - via Fleming, 11 (c/o ingresso ditta Tavieg)",,PIEZOMETRO,1504685,5029390,,,,ND,ND,ND,,,115.71,77.85802,-4.14612,69.6523,-5.06517,SEPARATA,A,DUBBIO,,,,progPLUMES
0152200164,PO015220NUA203,MI,TREZZANO SUL NAVIGLIO,"Piezometro pz.26 - via Fleming, 11 (Capannone ditta Tavieg)",,PIEZOMETRO,1504674,5029416,,,,ND,ND,ND,,,115.66,77.98896,-4.43937,69.8769,-4.0499,SEPARATA,A,DUBBIO,,,,progPLUMES
